招商银行		    CMB
中国工商银行		ICBC
中国建设银行		CCB
中国银行		    BOC
中国农业银行		ABC
交通银行		    HSBC
浦发银行		  SPDB
广东发展银行	  GDB
中信银行		  CITIC
中国光大银行	  CEB
兴业银行		  CIB
深圳发展银行	  SDB(已取消)
中国民生银行	  CMBC
华夏银行		  HXB
平安银行		  SDB (原SPA)
中国邮政储蓄银行	PSBC
渤海银行		  BHBK
东亚银行		  BEA
宁波银行		  NBBK
徽商银行		  HSBK
富滇银行		  FDBK
广州银行		  GZCBK
上海农商银行	  SHRCB
上海银行		  SHBANK
大连银行		  DLCBK
东莞银行		  DGCBK
河北银行		  HBBK
江苏银行		  JSBK
宁夏银行		  NXBK
齐鲁银行		  QLBK
厦门银行		  XMCBK
苏州银行		  SZCBK
温州市商业银行	  WZMBK
南京银行		  NJB
杭州银行          HZBANK
如意卡封闭卡	  FXCCARD
如意卡			  FXPPAYCARD
建行（企业网银）  CCB_B2B
工行（企业网银）  ICBC_B2B
光大（企业网银）  CEB_B2B
交行（企业网银）  UNP-HSBC_B2B	
农行（企业网银）  UNP-ABC_B2B
浦发（企业网银）  UNP-SPDB_B2B
快捷编码		  UNIONPAY_EXPRESS
